##samplename	xsec	sig(xsec)	eos/n	UID	location
vH_ttH		(1380+869.6+508.5)*0.0632	0	1	93	/store/group/upgrade/delphes/vh_tth_pythia_14tev/Phase2/files/
LL-4p-500-900-v1510_14TEV	2843.73	2.28	1	129	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/LL-4p-500-900-v1510_14TEV/
LL-4p-900-1400-v1510_14TEV	209.14	0.11	1	130	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/LL-4p-900-1400-v1510_14TEV/
LL-4p-1400-100000-v1510_14TEV	28.91	0.04	1	131	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/LL-4p-1400-100000-v1510_14TEV/
##LLB-4p-0-400-v1510_14TEV	2973.80	0.84	1	132	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/LLB-4p-0-400-v1510_14TEV/
##LLB-4p-400-900-v1510_14TEV	228.54	0.06	1	133	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/LLB-4p-400-900-v1510_14TEV/
##LLB-4p-900-100000-v1510_14TEV	20.80	0.01	1	134	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/LLB-4p-900-100000-v1510_14TEV/
tB-4p-0-500-v1510_14TEV	63889.23	19.52	1	135	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/tB-4p-0-500-v1510_14TEV/
tB-4p-500-900-v1510_14TEV	7121.72	2.78	1	136	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/tB-4p-500-900-v1510_14TEV/
tB-4p-900-1500-v1510_14TEV	980.30	0.34	1	137	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/tB-4p-900-1500-v1510_14TEV/
tB-4p-1500-2200-v1510_14TEV	83.91	0.04	1	138	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/tB-4p-1500-2200-v1510_14TEV/
tB-4p-2200-100000-v1510_14TEV	9.53	0	1	139	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/tB-4p-2200-100000-v1510_14TEV/
tj-4p-0-500-v1510_14TEV	109736.02	20.46	1	140	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/tj-4p-0-500-v1510_14TEV/
tj-4p-500-1000-v1510_14TEV	5993.25	2.25	1	141	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/tj-4p-500-1000-v1510_14TEV/
tj-4p-1000-1600-v1510_14TEV	376.80	0.16	1	142	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/tj-4p-1000-1600-v1510_14TEV/
tj-4p-1600-2400-v1510_14TEV	34.62	0.02	1	143	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/tj-4p-1600-2400-v1510_14TEV/
tj-4p-2400-100000-v1510_14TEV	3.12	0.0	1	144	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/tj-4p-2400-100000-v1510_14TEV/
tt-4p-0-600-v1510_14TEV	530893.58	156.15	1	145	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/tt-4p-0-600-v1510_14TEV/
tt-4p-600-1100-v1510_14TEV	42553.51	13.67	1	146	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/tt-4p-600-1100-v1510_14TEV/
tt-4p-1100-1700-v1510_14TEV	4482.09	1.64	1	147	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/tt-4p-1100-1700-v1510_14TEV/
tt-4p-1700-2500-v1510_14TEV	527.95	0.19	1	148	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/tt-4p-1700-2500-v1510_14TEV/
tt-4p-2500-100000-v1510_14TEV	54.49	0.02	1	149	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/tt-4p-2500-100000-v1510_14TEV/
ttB-4p-0-900-v1510_14TEV	2667.3	0	1	150	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/ttB-4p-0-900-v1510_14TEV/
ttB-4p-900-1600-v1510_14TEV	250.469	0	1	151	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/ttB-4p-900-1600-v1510_14TEV/
ttB-4p-1600-2500-v1510_14TEV	23.7441	0	1	152	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/ttB-4p-1600-2500-v1510_14TEV/
ttB-4p-2500-100000-v1510_14TEV	2.08816	0	1	153	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/ttB-4p-2500-100000-v1510_14TEV/
